alpha,sigma,momentum,batch_size,training_loss,training_error,validation_error
0.0001,0.0,0.0,32,0.5209104740401932,0.2408095574460244,0.23622627602727106
0.0001,0.0,0.0,64,0.5599569402357721,0.2408095574460244,0.23622627602727106
0.0001,0.0,0.0,128,0.6027888745676452,0.2408095574460244,0.23622627602727106
0.0001,0.0,0.5,32,0.4849954169852154,0.2408095574460244,0.23622627602727106
0.0001,0.0,0.5,64,0.5209230746946837,0.2408095574460244,0.23622627602727106
0.0001,0.0,0.5,128,0.5599502229620579,0.2408095574460244,0.23622627602727106
0.0001,0.0,0.9,32,0.3926639000439574,0.17864930438254353,0.17732326024199987
0.0001,0.0,0.9,64,0.43039754212614384,0.21421332268664967,0.2101836496529697
0.0001,0.0,0.9,128,0.47249617060148646,0.24053315315868679,0.23585774829555925
0.0001,0.0001,0.0,32,0.520918862624885,0.2408095574460244,0.23622627602727106
0.0001,0.0001,0.0,64,0.5599547278689577,0.2408095574460244,0.23622627602727106
0.0001,0.0001,0.0,128,0.6027908796521887,0.2408095574460244,0.23622627602727106
0.0001,0.0001,0.5,32,0.48500527172141505,0.2408095574460244,0.23622627602727106
0.0001,0.0001,0.5,64,0.5209114021124323,0.2408095574460244,0.23622627602727106
0.0001,0.0001,0.5,128,0.5599580316689193,0.2408095574460244,0.23622627602727106
0.0001,0.0001,0.9,32,0.39275007473424717,0.17883357390743526,0.17769178797371168
0.0001,0.0001,0.9,64,0.43043893837526154,0.2143361690365775,0.21024507094158834
0.0001,0.0001,0.9,128,0.47251104454022197,0.24053315315868679,0.23585774829555925
0.0001,0.001,0.0,32,0.5209905966540519,0.2408095574460244,0.23622627602727106
0.0001,0.001,0.0,64,0.5599953664120845,0.2408095574460244,0.23622627602727106
0.0001,0.001,0.0,128,0.602806890032151,0.2408095574460244,0.23622627602727106
0.0001,0.001,0.5,32,0.48513457006188454,0.2408095574460244,0.23622627602727106
0.0001,0.001,0.5,64,0.5209851507430023,0.2408095574460244,0.23622627602727106
0.0001,0.001,0.5,128,0.5599897740395706,0.2408095574460244,0.23622627602727106
0.0001,0.001,0.9,32,0.39340392265953605,0.17901784343232702,0.17781463055094895
0.0001,0.001,0.9,64,0.43081394543577656,0.21452043856146924,0.21030649223020698
0.0001,0.001,0.9,128,0.47269003789870806,0.24053315315868679,0.23585774829555925
0.0001,0.01,0.0,32,0.5216193357465656,0.2408095574460244,0.23622627602727106
0.0001,0.01,0.0,64,0.5603419370504013,0.2408095574460244,0.23622627602727106
0.0001,0.01,0.0,128,0.6029608097780944,0.2408095574460244,0.23622627602727106
0.0001,0.01,0.5,32,0.48636832446251743,0.2408095574460244,0.23622627602727106
0.0001,0.01,0.5,64,0.521614784099641,0.2408095574460244,0.23622627602727106
0.0001,0.01,0.5,128,0.5603519147843564,0.2408095574460244,0.23622627602727106
0.0001,0.01,0.9,32,0.39992969610880885,0.18331746567980098,0.18174559302254162
0.0001,0.01,0.9,64,0.43441994286354807,0.2174073277847732,0.2139917695473251
0.0001,0.01,0.9,128,0.47427211038077816,0.24056386474616873,0.23585774829555925
0.001,0.0,0.0,32,0.39265630184165407,0.17877215073247135,0.17769178797371168
0.001,0.0,0.0,64,0.43036894417996785,0.21418261109916772,0.21024507094158834
0.001,0.0,0.0,128,0.47240564242760885,0.24053315315868679,0.23585774829555925
0.001,0.0,0.5,32,0.3659056543709582,0.16743957495162926,0.16712732633130642
0.001,0.0,0.5,64,0.3926792107114005,0.17880286231995332,0.17750752410785578
0.001,0.0,0.5,128,0.4303705095877794,0.21418261109916772,0.2101836496529697
0.001,0.0,0.9,32,0.3332927532335834,0.15647553822057061,0.1527547447945458
0.001,0.0,0.9,64,0.34342629143438264,0.15957740855624827,0.15791413303851115
0.001,0.0,0.9,128,0.35930946930425567,0.16599613033997726,0.1647933173637983
0.001,0.0001,0.0,32,0.39274324746234024,0.17883357390743526,0.17769178797371168
0.001,0.0001,0.0,64,0.43041703989565266,0.21418261109916772,0.2101836496529697
0.001,0.0001,0.0,128,0.47241995923156815,0.24053315315868679,0.23585774829555925
0.001,0.0001,0.5,32,0.36600683638572196,0.16734744018918338,0.16749585406301823
0.001,0.0001,0.5,64,0.3927438971351959,0.17904855501980899,0.17763036668509305
0.001,0.0001,0.5,128,0.43041403798084044,0.21421332268664967,0.2101836496529697
0.001,0.0001,0.9,32,0.33351520607736374,0.15647553822057061,0.15250905964007125
0.001,0.0001,0.9,64,0.34356842818505295,0.15951598538128436,0.1572999201523248
0.001,0.0001,0.9,128,0.35942047416097794,0.16571972605263965,0.16491615994103556
0.001,0.001,0.0,32,0.393409805136274,0.17904855501980899,0.17763036668509305
0.001,0.001,0.0,64,0.4307786505682409,0.21458186173643315,0.21036791351882564
0.001,0.001,0.0,128,0.472587173067966,0.24053315315868679,0.23585774829555925
0.001,0.001,0.5,32,0.36698151898600123,0.16734744018918338,0.1679258030833487
0.001,0.001,0.5,64,0.3934040306753391,0.1791099781947729,0.17756894539647441
0.001,0.001,0.5,128,0.43078405115479607,0.2144897269739873,0.21030649223020698
0.001,0.001,0.9,32,0.33562989076445443,0.1566290961579804,0.1536760641238253
0.001,0.001,0.9,64,0.3450965791703788,0.15936242744387458,0.15723849886370617
0.001,0.001,0.9,128,0.3605048623615397,0.16636466938976074,0.16528468767274737
0.001,0.01,0.0,32,0.3999231837991957,0.18393169742944013,0.18174559302254162
0.001,0.01,0.0,64,0.4344256605893208,0.21710021190995363,0.21368466310423193
0.001,0.01,0.0,128,0.47421104426851385,0.24056386474616873,0.23585774829555925
0.001,0.01,0.5,32,0.3770492840828097,0.1698965019501858,0.1701983907622382
0.001,0.01,0.5,64,0.39993127208563506,0.18368600472958446,0.18168417173392298
0.001,0.01,0.5,128,0.4344379104532327,0.21710021190995363,0.21374608439285056
0.001,0.01,0.9,32,0.35859922642483577,0.16221860507969657,0.1609851974694429
0.001,0.01,0.9,64,0.3620415132880039,0.1645526857283253,0.16325778514833242
0.001,0.01,0.9,128,0.3719275937074241,0.16762384447652098,0.16804864566058597
0.01,0.0,0.0,32,0.3333458823530984,0.15601486440834128,0.15177200417664763
0.01,0.0,0.0,64,0.34338977506671775,0.1591167347440189,0.15662428597751982
0.01,0.0,0.0,128,0.3593240027485581,0.16571972605263965,0.16485473865241693
0.01,0.0,0.5,32,0.3278638301428468,0.15380363010964038,0.14870093974571585
0.01,0.0,0.5,64,0.3333679807243367,0.15638340345812474,0.1524476383514526
0.01,0.0,0.5,128,0.3434069760491459,0.15936242744387458,0.1571156562864689
0.01,0.0,0.9,32,0.3243310027710814,0.15131599152360187,0.1498065229408513
0.01,0.0,0.9,64,0.32496117178141337,0.15269801296028992,0.14900804618880903
0.01,0.0,0.9,128,0.32727684590017175,0.1537114953471945,0.1491308887660463
0.01,0.0001,0.0,32,0.3335416291931735,0.156199133933233,0.1520791106197408
0.01,0.0001,0.0,64,0.34355802134645996,0.15908602315653697,0.15668570726613845
0.01,0.0001,0.0,128,0.3594543076928212,0.16599613033997726,0.1649775812296542
0.01,0.0001,0.5,32,0.3280644873295943,0.15361936058474862,0.1491308887660463
0.01,0.0001,0.5,64,0.333739170191805,0.15638340345812474,0.15287758737178306
0.01,0.0001,0.5,128,0.3435734387519324,0.15960812014373024,0.15754560530679934
0.01,0.0001,0.9,32,0.3246944885242944,0.15153097263597556,0.14919231005466493
0.01,0.0001,0.9,64,0.3253130171885025,0.1517766653358312,0.1494379952091395
0.01,0.0001,0.9,128,0.3270619645940297,0.15297441724762753,0.14888520361157176
0.01,0.001,0.0,32,0.33562238724077004,0.15675194250790822,0.15379890670106258
0.01,0.001,0.0,64,0.34512942243289557,0.15936242744387458,0.15699281370923163
0.01,0.001,0.0,128,0.36054357710112556,0.16599613033997726,0.1649775812296542
0.01,0.001,0.5,32,0.33060580726611644,0.1544792850342434,0.14937657392052084
0.01,0.001,0.5,64,0.33563219191672894,0.15681336568287216,0.1536760641238253
0.01,0.001,0.5,128,0.3451069398134604,0.1595466969687663,0.15736134144094344
0.01,0.001,0.9,32,0.3283849328632591,0.15374220693467644,0.15011362938394449
0.01,0.001,0.9,64,0.3282941898698781,0.15361936058474862,0.14784104170505497
0.01,0.001,0.9,128,0.3298524727428697,0.15389576487208623,0.14882378232295312
0.01,0.01,0.0,32,0.35865792797420665,0.16221860507969657,0.1606166697377311
0.01,0.01,0.0,64,0.36207926341294233,0.16393845397868617,0.1633806277255697
0.01,0.01,0.0,128,0.372036159388035,0.16796167193882253,0.16823290952644188
0.01,0.01,0.5,32,0.35863011394758293,0.16006879395595958,0.1588968736564093
0.01,0.01,0.5,64,0.3586469568858289,0.1623414514296244,0.1609851974694429
0.01,0.01,0.5,128,0.36221378835833157,0.16332422222904702,0.16245930839629016
0.01,0.01,0.9,32,0.35993845410994935,0.15997665919351373,0.1576684478840366
0.01,0.01,0.9,64,0.3580363091836653,0.16043733300574306,0.15895829494502794
0.01,0.01,0.9,128,0.35774017662334656,0.16264856730444396,0.16104661875806153
0.1,0.0,0.0,32,0.3242153836687247,0.1515616842234575,0.14839383330262268
0.1,0.0,0.0,64,0.3252378591433134,0.15288228248518165,0.1480867268595295
0.1,0.0,0.0,128,0.3267636583844415,0.15325082153496514,0.14802530557091087
0.1,0.0,0.5,32,0.3243992237181386,0.15174595374834926,0.14992936551808858
0.1,0.0,0.5,64,0.32499368109526117,0.15103958723626423,0.15140347644493582
0.1,0.0,0.5,128,0.3250401544007984,0.15315868677251926,0.1487623610343345
0.1,0.0,0.9,32,0.33515622773119264,0.1567826540953902,0.16092377618082426
0.1,0.0,0.9,64,0.3305084615367357,0.1530665520100734,0.1520791106197408
0.1,0.0,0.9,128,0.32424816849364707,0.15159239581093947,0.1504821571156563
0.1,0.0001,0.0,32,0.3244896431262726,0.15165381898590338,0.14906946747742766
0.1,0.0001,0.0,64,0.32519866372035,0.1530051288351095,0.14814814814814814
0.1,0.0001,0.0,128,0.3270416703299721,0.1532815331224471,0.1480867268595295
0.1,0.0001,0.5,32,0.3273412527762052,0.15254445502288014,0.1534918002579694
0.1,0.0001,0.5,64,0.32624806752470975,0.15137741469856578,0.15158774031079172
0.1,0.0001,0.5,128,0.3276631631703925,0.15466355455913516,0.15146489773355445
0.1,0.0001,0.9,32,0.333733407278685,0.15454070820920734,0.15429027701001166
0.1,0.0001,0.9,64,0.32752873465082843,0.15202235803568687,0.15140347644493582
0.1,0.0001,0.9,128,0.3250998619415253,0.1517152421608673,0.1506664209815122
0.1,0.001,0.0,32,0.32805054520167665,0.1537114953471945,0.1493151526319022
0.1,0.001,0.0,64,0.32838512136188625,0.15368078375971253,0.1482709907253854
0.1,0.001,0.0,128,0.3296877656260963,0.15417216915942386,0.14949941649775814
0.1,0.001,0.5,32,0.32898862245328364,0.15309726359755535,0.14888520361157176
0.1,0.001,0.5,64,0.3277997584807908,0.15325082153496514,0.14796388428229224
0.1,0.001,0.5,128,0.32916399588838485,0.15469426614661713,0.15115779129046128
0.1,0.001,0.9,32,0.33674197409589873,0.15604557599582322,0.1545359621644862
0.1,0.001,0.9,64,0.3405400793810178,0.15930100426891067,0.1567471285547571
0.1,0.001,0.9,128,0.3290220752525854,0.1528515708976997,0.15011362938394449
0.1,0.01,0.0,32,0.357788049586667,0.1646141089032892,0.16325778514833242
0.1,0.01,0.0,64,0.3578430947716676,0.16261785571696202,0.16129230391253607
0.1,0.01,0.0,128,0.35809018801533754,0.1616350849175394,0.16086235489220563
0.1,0.01,0.5,32,0.35932431006596693,0.16317066429163724,0.1616608316442479
0.1,0.01,0.5,64,0.35763501677810383,0.16492122477810878,0.1633806277255697
0.1,0.01,0.5,128,0.35821731783674665,0.16102085316790024,0.160125299428782
0.1,0.01,0.9,32,0.38481435202699654,0.17413470102269588,0.17363798292488175
0.1,0.01,0.9,64,0.3658396340258432,0.17606953103405915,0.17443645967692403
0.1,0.01,0.9,128,0.35771165053008186,0.16292497159178157,0.16159941035562927
